#{"t_start": 1788536358.521354, "env_id": "None"}
r,l,t
-2343.196811,6551,67.172504
-2096.348238,6551,140.69586
-2081.531843,6551,205.484863
-2084.891588,6551,279.184604
-2083.783066,6551,348.296219
-2085.409469,6551,403.891144
-2085.047846,6551,459.079349
-2086.001477,6551,533.022424
-2086.925568,6551,603.293528
-2086.828869,6551,665.106699
-2086.864381,6551,728.040903
-2085.1988,6551,787.40025
-2088.043186,6551,850.339194
-2084.780128,6551,919.428792
-2084.242995,6551,995.346021
-2086.303684,6551,1073.387462
-2085.616538,6551,1142.804695
-2085.920309,6551,1217.315144
-2082.579681,6551,1287.640894
-2084.456061,6551,1359.15839
-2081.794835,6551,1429.199055
-2082.306898,6551,1494.423466
