#{"t_start": 1788537912.846092, "env_id": "None"}
r,l,t
-2325.312312,6551,66.054902
-2083.401823,6551,129.886924
-2079.331841,6551,189.712019
-2075.899053,6551,1965.848129
-2078.777389,6551,2027.363735
-2079.910936,6551,2085.224888
-2077.440368,6551,2148.782068
-2079.837683,6551,2208.364141
-2082.215957,6551,2271.433191
-2085.568891,6551,2330.178286
-2084.69291,6551,2385.321952
-2090.113594,6551,2441.885986
-2091.153622,6551,2506.488365
-2087.039665,6551,2568.911772
-2086.375105,6551,2637.246334
-2085.539593,6551,2703.871563
-2083.598655,6551,2770.155994
-2084.383918,6551,2830.837509
-2084.647336,6551,2893.476164
-2084.307622,6551,2958.910879
-2085.337841,6551,3022.627885
-2084.252697,6551,3083.074735
